​ p5 had problems creating the global function "shuffle", possibly because your code is already using that name as a variable. You may want to rename your variable to something else.
​ CONST:0.3 0.15 550 0.35 0.0005 250
​ [Violation] Added synchronous DOM mutation listener to a 'DOMNodeInserted' event. Consider using MutationObserver to make the page more responsive.
setupListener @ ​
main_content_script @ ​
(anonymous) @ ​
build.js:112 1164 6 20
build.js:112 1165 6 20
build.js:112 1166 6 20
build.js:112 1167 6 20
build.js:112 1168 6 20
build.js:112 1169 6 20
build.js:112 1170 6 20
build.js:112 1171 6 20
build.js:112 1172 6 20
build.js:112 1173 6 20
build.js:112 1174 6 20
build.js:112 1175 6 20
build.js:112 1176 6 20
build.js:112 1177 6 20
build.js:112 1178 6 20
build.js:112 1179 6 20
build.js:112 1180 6 20
build.js:112 1181 6 20
build.js:112 1182 6 20
build.js:112 1183 6 20
build.js:112 1184 6 20
build.js:112 1185 6 20
build.js:112 1186 6 20
build.js:112 1187 6 20
build.js:112 1188 6 20
build.js:112 1189 6 20
build.js:112 1190 6 20
build.js:112 1191 6 20
build.js:112 1192 6 20
build.js:112 1193 6 20
build.js:112 1194 6 20
build.js:112 1195 6 20
build.js:112 1196 6 20
build.js:112 1197 6 20
build.js:112 1198 6 20
build.js:112 1199 6 20
build.js:112 1200 6 20
build.js:112 1201 6 20
build.js:112 1202 6 20
build.js:112 1203 6 20
build.js:112 1204 6 20
build.js:112 1205 6 20
build.js:112 1206 6 20
build.js:112 1207 6 20
build.js:112 1208 6 20
build.js:112 1209 6 20
build.js:112 1210 6 20
build.js:112 1211 6 20
build.js:112 1212 6 20
build.js:112 1213 6 20
build.js:112 1214 6 20
build.js:112 1215 6 20
build.js:112 1216 6 20
build.js:112 1217 6 20
build.js:112 1218 6 20
build.js:112 1219 6 20
build.js:112 1220 6 20
build.js:112 1221 6 20
build.js:112 1222 6 20
build.js:112 1223 6 20
build.js:112 1224 6 20
build.js:112 1225 6 20
build.js:112 1226 6 20
build.js:112 1227 6 20
build.js:112 1228 6 20
build.js:112 1229 6 20
build.js:112 1230 6 20
build.js:112 1231 6 20
build.js:112 1232 6 20
build.js:112 1233 6 20
build.js:112 1234 6 20
build.js:112 1235 6 20
build.js:112 1236 6 20
build.js:112 1237 6 20
build.js:112 1238 6 20
build.js:112 1239 6 20
build.js:112 1240 6 20
build.js:112 1241 6 20
build.js:112 1242 6 20
build.js:112 1243 6 20
build.js:112 1244 6 20
build.js:112 1245 6 20
build.js:112 1246 6 20
build.js:112 1247 6 20
build.js:112 1248 6 20
build.js:112 1249 6 20
build.js:112 1250 6 20
build.js:112 1251 6 20
build.js:112 1252 6 20
build.js:112 1253 6 20
build.js:112 1254 6 20
build.js:112 1255 6 20
build.js:112 1256 6 20
build.js:112 1257 6 20
build.js:112 1258 6 20
build.js:112 1259 6 20
build.js:112 1260 6 20
build.js:112 1261 6 20
build.js:112 1262 6 20
build.js:112 1263 6 20
build.js:112 1264 6 20
build.js:112 1265 6 20
build.js:112 1266 6 20
build.js:112 1267 6 20
build.js:112 1268 6 20
build.js:112 1269 6 20
build.js:112 1270 6 20
build.js:112 1271 6 20
build.js:112 1272 6 20
build.js:112 1273 6 20
build.js:112 1274 6 20
